"Alison Lindsay",,,,
"Chris Herriot",,,,
"Crawford Semple",,,,
"Deryck Beaumont",,,,
"Eric Holford",,,,
"Ewan McRobert","Q75838984","2019 United Kingdom general election","East Kilbride, Strathaven and Lesmahagow","Liberal Democrats"
"Fraser Coats",,,,
"Gordon McIntosh",,,,
"Helen McFarlane","Q76450759","2019 United Kingdom general election","Airdrie and Shotts","Labour Party"
"Helen Watt",,,,
"Jennifer Donnellan",,,,
"John Love",,,,
"John McGeechan",,,,
"Joseph Rowan",,,,
"Keith R.A. Robertson",,,,
"Kenny McGuigan",,,,
"Lorraine Nolan","Q76363890","2019 United Kingdom general election","Airdrie and Shotts","Conservative Party"
"Malcolm Balfour",,,,
"Mark Dempsey",,,,
"Matthew Williams",,,,
"Nicholas H. Brook",,,,
"Richard G. Wolseley",,,,
"Rosemary McGowan","Q76130711","2019 United Kingdom general election","Airdrie and Shotts","Scottish Green Party"
"Ruth Whitfield",,,,
"Sophia Coyle",,,,
"Stuart Cottis",,,,
"William Crossman","Q76738177","2019 United Kingdom general election","Airdrie and Shotts","Liberal Democrats"
